행정구역,2025년04월_계_총인구수,2025년04월_계_연령구간인구수,2025년04월_계_0세,2025년04월_계_1세,2025년04월_계_2세,2025년04월_계_3세,2025년04월_계_4세,2025년04월_계_5세,2025년04월_계_6세,2025년04월_계_7세,2025년04월_계_8세,2025년04월_계_9세,2025년04월_계_10세,2025년04월_계_11세,2025년04월_계_12세,2025년04월_계_13세,2025년04월_계_14세,2025년04월_계_15세,2025년04월_계_16세,2025년04월_계_17세,2025년04월_계_18세,2025년04월_계_19세,2025년04월_계_20세,2025년04월_계_21세,2025년04월_계_22세,2025년04월_계_23세,2025년04월_계_24세,2025년04월_계_25세,2025년04월_계_26세,2025년04월_계_27세,2025년04월_계_28세,2025년04월_계_29세,2025년04월_계_30세,2025년04월_계_31세,2025년04월_계_32세,2025년04월_계_33세,2025년04월_계_34세,2025년04월_계_35세,2025년04월_계_36세,2025년04월_계_37세,2025년04월_계_38세,2025년04월_계_39세,2025년04월_계_40세,2025년04월_계_41세,2025년04월_계_42세,2025년04월_계_43세,2025년04월_계_44세,2025년04월_계_45세,2025년04월_계_46세,2025년04월_계_47세,2025년04월_계_48세,2025년04월_계_49세,2025년04월_계_50세,2025년04월_계_51세,2025년04월_계_52세,2025년04월_계_53세,2025년04월_계_54세,2025년04월_계_55세,2025년04월_계_56세,2025년04월_계_57세,2025년04월_계_58세,2025년04월_계_59세,2025년04월_계_60세,2025년04월_계_61세,2025년04월_계_62세,2025년04월_계_63세,2025년04월_계_64세,2025년04월_계_65세,2025년04월_계_66세,2025년04월_계_67세,2025년04월_계_68세,2025년04월_계_69세,2025년04월_계_70세,2025년04월_계_71세,2025년04월_계_72세,2025년04월_계_73세,2025년04월_계_74세,2025년04월_계_75세,2025년04월_계_76세,2025년04월_계_77세,2025년04월_계_78세,2025년04월_계_79세,2025년04월_계_80세,2025년04월_계_81세,2025년04월_계_82세,2025년04월_계_83세,2025년04월_계_84세,2025년04월_계_85세,2025년04월_계_86세,2025년04월_계_87세,2025년04월_계_88세,2025년04월_계_89세,2025년04월_계_90세,2025년04월_계_91세,2025년04월_계_92세,2025년04월_계_93세,2025년04월_계_94세,2025년04월_계_95세,2025년04월_계_96세,2025년04월_계_97세,2025년04월_계_98세,2025년04월_계_99세,2025년04월_계_100세 이상
경기도  (4100000000),"13,702,756","13,702,756","73,138","70,770","76,599","80,570","83,792","89,429","97,159","104,420","116,193","128,315","129,860","126,939","137,919","136,423","138,998","128,370","131,342","140,459","129,406","120,647","124,161","131,273","130,984","142,986","168,552","172,652","172,837","181,607","183,908","193,941","196,490","198,941","205,414","204,594","188,164","184,624","183,126","179,509","180,818","189,028","187,459","207,659","228,187","242,983","239,076","238,740","212,803","215,210","208,998","218,991","227,627","245,660","244,226","250,864","251,280","240,696","247,983","220,512","214,745","216,294","216,776","191,537","220,078","207,996","224,642","204,001","185,300","172,949","156,085","147,085","147,768","111,815","115,721","92,378","81,246","86,996","82,940","83,714","79,960","56,953","59,755","56,832","63,498","57,952","45,747","42,023","37,810","31,873","28,078","23,607","19,084","14,552","11,298","8,418","6,274","4,833","3,699","2,532","1,630",977,"1,994"
경기도 수원시 (4111000000),"1,190,998","1,190,998","6,590","5,960","6,359","6,471","6,860","7,263","7,801","8,260","9,298","10,567","10,587","10,263","11,465","11,223","11,606","10,733","11,189","12,096","11,241","10,862","11,579","12,620","13,205","14,945","17,984","18,450","18,562","19,521","19,787","21,056","20,912","20,754","21,390","20,789","18,615","17,701","17,342","16,373","16,128","16,593","16,244","17,265","19,198","20,633","20,089","20,300","18,093","18,632","18,020","18,792","19,395","20,971","20,707","21,379","21,350","20,738","21,398","19,138","18,543","18,117","18,385","16,136","18,280","17,045","18,300","16,306","14,611","12,935","11,546","10,938","10,947","8,232","8,654","6,952","5,943","6,466","6,187","6,058","5,786","4,089","4,398","4,109","4,534","4,065","3,241","2,943","2,724","2,257","1,976","1,703","1,325","1,048",785,585,412,324,261,174,107,78,151
경기도 수원시 장안구 (4111100000),"273,356","273,356","1,213","1,094","1,189","1,281","1,337","1,413","1,460","1,594","1,766","2,156","2,148","2,188","2,462","2,501","2,596","2,503","2,719","2,914","2,820","2,743","2,980","3,229","3,358","3,819","4,544","4,364","4,233","4,269","4,118","4,216","4,179","3,997","4,078","3,932","3,535","3,311","3,236","3,085","3,017","3,231","3,071","3,414","3,783","4,078","4,181","4,326","3,919","4,154","4,129","4,385","4,578","5,076","5,022","5,297","5,228","5,184","5,436","4,968","4,684","4,539","4,667","4,059","4,659","4,272","4,617","4,208","3,706","3,301","3,006","2,874","2,844","2,122","2,336","1,806","1,637","1,771","1,688","1,633","1,628","1,133","1,274","1,201","1,390","1,176",968,857,824,688,595,550,403,290,235,189,128,101,83,60,35,18,44
경기도 수원시 권선구 (4111300000),"361,929","361,929","1,949","1,838","1,899","1,864","2,012","2,034","2,238","2,388","2,783","3,158","3,176","3,060","3,399","3,315","3,323","3,019","3,054","3,404","3,088","2,941","3,071","3,335","3,467","3,959","4,674","5,082","5,171","5,744","6,035","6,528","6,461","6,498","6,577","6,494","5,672","5,303","5,224","4,945","4,841","5,154","5,059","5,389","5,981","6,418","6,235","6,173","5,507","5,463","5,195","5,547","5,586","6,147","6,183","6,432","6,365","6,255","6,639","6,082","6,051","6,023","5,997","5,254","5,999","5,700","6,203","5,487","4,911","4,396","3,803","3,697","3,650","2,734","2,813","2,323","1,894","2,031","1,992","1,921","1,826","1,260","1,362","1,246","1,321","1,238",955,872,815,661,598,481,392,331,248,169,111,109,69,53,33,26,41
경기도 수원시 팔달구 (4111500000),"193,792","193,792","1,050",908,915,919,"1,022","1,141","1,150","1,164","1,250","1,288","1,193","1,074","1,333","1,195","1,288","1,314","1,360","1,541","1,450","1,551","1,734","1,996","2,163","2,538","3,070","3,247","3,362","3,481","3,564","3,825","3,726","3,659","3,823","3,624","3,299","3,118","2,903","2,762","2,594","2,601","2,563","2,617","2,784","2,921","2,806","2,896","2,471","2,621","2,631","2,777","3,046","3,298","3,168","3,401","3,445","3,333","3,445","3,028","3,065","2,929","3,088","2,684","3,144","2,969","3,250","2,924","2,716","2,395","2,224","2,042","2,202","1,668","1,774","1,418","1,232","1,367","1,224","1,334","1,204",887,898,869,947,845,699,601,568,465,399,330,241,204,154,98,77,59,51,29,18,20,34
경기도 수원시 영통구 (4111700000),"361,921","361,921","2,378","2,120","2,356","2,407","2,489","2,675","2,953","3,114","3,499","3,965","4,070","3,941","4,271","4,212","4,399","3,897","4,056","4,237","3,883","3,627","3,794","4,060","4,217","4,629","5,696","5,757","5,796","6,027","6,070","6,487","6,546","6,600","6,912","6,739","6,109","5,969","5,979","5,581","5,676","5,607","5,551","5,845","6,650","7,216","6,867","6,905","6,196","6,394","6,065","6,083","6,185","6,450","6,334","6,249","6,312","5,966","5,878","5,060","4,743","4,626","4,633","4,139","4,478","4,104","4,230","3,687","3,278","2,843","2,513","2,325","2,251","1,708","1,731","1,405","1,180","1,297","1,283","1,170","1,128",809,864,793,876,806,619,613,517,443,384,342,289,223,148,129,96,55,58,32,21,14,32
경기도 성남시 (4113000000),"910,260","910,260","4,640","4,340","4,692","4,982","5,110","5,468","5,912","6,163","6,772","7,753","7,738","7,811","8,355","8,280","8,649","7,810","8,188","8,798","8,203","7,547","8,217","8,670","8,661","9,274","11,093","11,701","12,020","12,982","13,218","14,002","13,967","14,124","14,633","14,426","13,328","13,236","12,601","12,575","12,517","12,830","12,607","13,701","14,647","15,489","15,423","15,242","13,869","13,594","13,739","13,846","14,736","15,762","15,781","16,511","16,596","15,878","15,875","14,169","13,626","13,781","13,681","12,775","14,100","13,781","15,087","13,718","12,651","12,187","10,965","10,351","10,557","7,958","8,362","6,639","5,981","6,468","6,193","6,140","5,816","4,181","4,303","4,073","4,389","4,029","3,166","2,894","2,643","2,128","1,944","1,556","1,327","1,006",814,587,484,400,236,202,112,74,144
경기도 성남시 수정구 (4113100000),"234,027","234,027","1,202","1,155","1,169","1,222","1,313","1,378","1,352","1,353","1,457","1,565","1,581","1,450","1,633","1,539","1,676","1,513","1,532","1,765","1,729","1,691","1,989","2,288","2,292","2,549","3,028","3,201","3,234","3,409","3,579","3,734","3,751","3,900","4,021","3,836","3,646","3,541","3,346","3,292","3,270","3,287","3,218","3,350","3,637","3,826","3,681","3,574","3,251","3,163","3,178","3,273","3,464","3,735","3,867","4,172","4,091","4,080","4,078","3,723","3,753","3,816","3,797","3,567","3,950","3,948","4,348","3,945","3,678","3,502","3,236","3,003","3,159","2,383","2,488","2,013","1,789","1,921","1,857","1,777","1,672","1,200","1,235","1,120","1,266","1,069",811,739,701,491,428,368,297,229,178,104,100,89,51,47,19,20,34
경기도 성남시 중원구 (4113300000),"206,029","206,029","1,001",946,"1,017","1,021",991,"1,071","1,083","1,082","1,236","1,370","1,254","1,306","1,353","1,413","1,482","1,282","1,433","1,614","1,544","1,467","1,626","1,778","1,880","2,083","2,426","2,824","2,727","3,099","3,211","3,417","3,472","3,406","3,518","3,490","3,101","3,047","2,869","2,924","2,745","2,832","2,691","3,037","3,249","3,222","3,159","3,094","2,794","2,733","2,734","2,901","3,020","3,441","3,366","3,550","3,563","3,534","3,751","3,478","3,354","3,519","3,506","3,071","3,797","3,607","4,127","3,746","3,330","3,265","2,848","2,705","2,845","2,017","2,190","1,809","1,600","1,733","1,631","1,568","1,500",964,"1,079","1,019","1,115","1,028",747,703,587,483,430,323,270,197,138,105,69,82,52,38,20,14,40
경기도 성남시 분당구 (4113500000),"470,204","470,204","2,437","2,239","2,506","2,739","2,806","3,019","3,477","3,728","4,079","4,818","4,903","5,055","5,369","5,328","5,491","5,015","5,223","5,419","4,930","4,389","4,602","4,604","4,489","4,642","5,639","5,676","6,059","6,474","6,428","6,851","6,744","6,818","7,094","7,100","6,581","6,648","6,386","6,359","6,502","6,711","6,698","7,314","7,761","8,441","8,583","8,574","7,824","7,698","7,827","7,672","8,252","8,586","8,548","8,789","8,942","8,264","8,046","6,968","6,519","6,446","6,378","6,137","6,353","6,226","6,612","6,027","5,643","5,420","4,881","4,643","4,553","3,558","3,684","2,817","2,592","2,814","2,705","2,795","2,644","2,017","1,989","1,934","2,008","1,932","1,608","1,452","1,355","1,154","1,086",865,760,580,498,378,315,229,133,117,73,40,70
